,tweet,product_,emotion,lemmatizer_tweets,textblob_polarity,textblob_subjectivity,vs_neg,vs_neu,vs_pos,vs_compound,nrc_sentiment,gi_sentiment,henry_sentiment,huliu_sentiment,jockers_sentiment,lm_sentiment,senticnet_sentiment,sentiword_sentiment,socal_sentiment
0,"['wesley83', '3g', 'iphone', 'hrs', 'tweeting', 'rise_austin', 'dead', 'need', 'upgrade', 'plugin', 'stations', 'sxsw']",iPhone,0,wesley83 3g iphone hr tweeting rise_austin dead need upgrade plugin station sxsw ,-0.2,0.4,0.281,0.719,0.0,-0.6486,0.0,-0.3333333333333333,0.0,-1.0,-1.0,0.0,-0.29725,-0.12916666666666668,-1.192153631
1,"['jessedee', 'know', 'fludapp', 'awesome', 'ipad', 'iphone', 'app', 'likely', 'appreciate', 'design', 'also', ""they're"", 'giving', 'free', 'ts', 'sxsw']",iPad or iPhone App,1,jessedee know fludapp awesome ipad iphone app likely appreciate design also they're giving free t sxsw ,0.4666666666666666,0.9333333333333332,0.0,0.49,0.51,0.91,1.0,1.0,0.0,1.0,0.4625,0.0,0.40071428571428575,0.178125,2.1457151775
2,"['swonderlin', 'wait', 'ipad2', 'also', 'sale', 'sxsw']",iPad,1,swonderlin wait ipad2 also sale sxsw ,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-0.25,0.0,0.044000000000000004,-0.0625,0.0
3,"['sxsw', 'hope', ""year's"", 'festival', 'crashy', ""year's"", 'iphone', 'app', 'sxsw']",iPad or iPhone App,0,sxsw hope year's festival crashy year's iphone app sxsw ,0.0,0.0,0.0,0.534,0.466,0.7269,1.0,1.0,0.0,0.0,0.5,0.0,0.531,0.25,2.841547331
4,"['sxtxstate', 'great', 'stuff', 'fri', 'sxsw', 'marissa', 'mayer', 'google', 'tim', ""o'reilly"", 'tech', 'books', 'conferences', 'amp', 'matt', 'mullenweg', 'wordpress']",Google,1,sxtxstate great stuff fri sxsw marissa mayer google tim o'reilly tech book conference amp matt mullenweg wordpress ,0.8,0.75,0.0,0.796,0.204,0.6249,0.0,1.0,0.0,1.0,0.5,1.0,0.3463333333333333,-0.025,1.554025746
5,"['teachntech00', 'new', 'ipad', 'apps', 'speechtherapy', 'communication', 'showcased', 'sxsw', 'conference', 'http', 'ht', 'ly', '49n4m', 'iear', 'edchat', 'asd']",Unknown,3,teachntech00 new ipad apps speechtherapy communication showcased sxsw conference http ht ly 49n4m iear edchat asd ,0.13636363636363635,0.45454545454545453,0.0,0.806,0.194,0.5574,0.0,0.0,0.0,0.0,0.8,0.0,0.45,-0.166666667,3.586298998
7,"['sxsw', 'starting', 'ctia', 'around', 'corner', 'googleio', 'hop', 'skip', 'jump', 'good', 'time', 'android', 'fan']",Android,1,sxsw starting ctia around corner googleio hop skip jump good time android fan ,0.35,0.35000000000000003,0.0,0.679,0.321,0.6369,0.3333333333333333,1.0,1.0,1.0,0.75,1.0,0.16350000000000003,0.18303571428571427,1.872093066
8,"['beautifully', 'smart', 'simple', 'idea', 'rt', 'madebymany', 'thenextweb', 'wrote', 'hollergram', 'ipad', 'app', 'sxsw', 'http', 'bit', 'ly', 'ieavob']",iPad or iPhone App,1,beautifully smart simple idea rt madebymany thenextweb wrote hollergram ipad app sxsw http bit ly ieavob ,0.10714285714285714,0.5,0.0,0.565,0.435,0.875,0.0,0.0,0.0,1.0,0.75,1.0,0.4074,0.0546875,1.4843550816666669
9,"['counting', 'days', 'sxsw', 'plus', 'strong', 'canadian', 'dollar', 'means', 'stock', 'apple', 'gear']",Apple,1,counting day sxsw plus strong canadian dollar mean stock apple gear ,0.060416666666666646,0.7104166666666667,0.0,0.752,0.248,0.5106,1.0,-1.0,1.0,1.0,0.5,1.0,0.1732222222222222,0.2291666667142857,-0.159241948
10,"['excited', 'meet', 'samsungmobileus', 'sxsw', 'show', 'sprint', 'galaxy', 'still', 'running', 'android', 'fail']",Android,1,excited meet samsungmobileus sxsw show sprint galaxy still running android fail ,-0.0625,0.5249999999999999,0.235,0.604,0.161,-0.2732,1.0,0.0,-1.0,0.0,0.0,0.0,-0.017142857142857158,0.02901785716666667,0.0
11,"['find', 'amp', 'start', 'impromptu', 'parties', 'sxsw', 'hurricaneparty', 'http', 'bit', 'ly', 'gvlrin', ""can't"", 'wait', 'til', 'android', 'app', 'comes']",Android App,1,find amp start impromptu party sxsw hurricaneparty http bit ly gvlrin can't wait til android app come ,0.0,0.0,0.0,0.704,0.296,0.743,-1.0,-1.0,-1.0,-1.0,-0.625,-1.0,0.000625000000000004,-0.091145833375,0.9207736655000001
12,"['foursquare', 'ups', 'game', 'time', 'sxsw', 'http', 'mp', 'grn7pk', 'still', 'prefer', 'gowalla', 'far', 'best', 'looking', 'android', 'app', 'date']",Android App,1,foursquare ups game time sxsw http mp grn7pk still prefer gowalla far best looking android app date ,0.2333333333333333,0.5666666666666667,0.0,0.792,0.208,0.6369,1.0,1.0,1.0,1.0,0.3,1.0,0.05150000000000002,0.166294642875,2.636739787666667
13,"['gotta', 'love', 'sxsw', 'google', 'calendar', 'featuring', 'top', 'parties', 'show', 'cases', 'check', 'rt', 'hamsandwich', 'ischafer', 'gt', 'http', 'bit', 'ly', 'axzwxb']",Other Google product or service,1,gotta love sxsw google calendar featuring top party show case check rt hamsandwich ischafer gt http bit ly axzwxb ,0.5,0.55,0.0,0.493,0.507,0.9246,0.3333333333333333,-0.3333333333333333,0.0,1.0,0.75,0.0,0.263625,0.09548611116666667,2.117065466
