,tweet,product_,emotion,lemmatizer_tweets,textblob_polarity,textblob_subjectivity,vs_neg,vs_neu,vs_pos,vs_compound,nrc_sentiment,gi_sentiment,henry_sentiment,huliu_sentiment,jockers_sentiment,lm_sentiment,senticnet_sentiment,sentiword_sentiment,socal_sentiment
0,"['wesley83', 'have', '3G', 'iPhone', '3', 'hrs', 'tweeting', 'RISE', 'Austin', 'was', 'dead', 'need', 'upgrade', 'Plugin', 'stations', 'SXSW']",iPhone,0,wesley83 have 3G iPhone 3 hr tweeting RISE Austin wa dead need upgrade Plugin station SXSW ,-0.2,0.4,0.223,0.777,0.0,-0.6486,0.0,-0.3333333333333333,0.0,-1.0,-1.0,0.0,-0.0952,-0.221875,-1.192153631
1,"['jessedee', 'Know', 'fludapp', 'Awesome', 'iPad', 'iPhone', 'app', 'you', 'likely', 'appreciate', 'its', 'design', 'Also', 're', 'giving', 'free', 'Ts', 'SXSW']",iPad or iPhone App,1,jessedee Know fludapp Awesome iPad iPhone app you likely appreciate it design Also re giving free Ts SXSW ,0.4666666666666666,0.9333333333333332,0.0,0.528,0.472,0.91,1.0,1.0,0.0,1.0,0.4166666666666667,0.0,0.475,0.17500000000000002,2.1771895286666667
2,"['swonderlin', 'not', 'wait', 'iPad', '2', 'also', 'should', 'sale', 'down', 'SXSW']",iPad,1,swonderlin not wait iPad 2 also should sale down SXSW ,-0.15555555555555559,0.2888888888888889,0.0,1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-0.625,-1.0,-0.3055,-0.2890625,-1.0
3,"['sxsw', 'hope', 'year', 'festival', 't', 'crashy', 'this', 'year', 'iPhone', 'app', 'sxsw']",iPad or iPhone App,0,sxsw hope year festival t crashy this year iPhone app sxsw ,0.0,0.0,0.0,0.596,0.404,0.7269,1.0,1.0,0.0,0.0,0.5,0.0,0.07159999999999997,0.25,2.841547331
4,"['sxtxstate', 'great', 'stuff', 'Fri', 'SXSW', 'Marissa', 'Mayer', 'Google', 'Tim', 'Reilly', 'tech', 'books', 'conferences', 'amp', 'Matt', 'Mullenweg', 'Wordpress']",Google,1,sxtxstate great stuff Fri SXSW Marissa Mayer Google Tim Reilly tech book conference amp Matt Mullenweg Wordpress ,0.8,0.75,0.0,0.796,0.204,0.6249,0.0,1.0,0.0,1.0,0.5,1.0,0.55125,0.08333333333333333,1.554025746
5,"['teachntech00', 'New', 'iPad', 'Apps', 'SpeechTherapy', 'Communication', 'Showcased', 'The', 'SXSW', 'Conference', 'http', 'ht', 'ly', '49n4M', 'iear', 'edchat', 'asd']",Unknown,3,teachntech00 New iPad Apps SpeechTherapy Communication Showcased The SXSW Conference http ht ly 49n4M iear edchat asd ,0.13636363636363635,0.45454545454545453,0.0,0.816,0.184,0.5574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,"['SXSW', 'just', 'starting', 'CTIA', 'around', 'corner', 'googleio', 'only', 'hop', 'skip', 'a', 'jump', 'there', 'good', 'time', 'be', 'android', 'fan']",Android,1,SXSW just starting CTIA around corner googleio only hop skip a jump there good time be android fan ,0.2333333333333333,0.5666666666666668,0.0,0.755,0.245,0.6369,0.3,0.7333333333333334,0.6,0.6,0.475,0.6,0.16620000000000001,0.18194444444444444,1.036046533
8,"['Beautifully', 'smart', 'simple', 'idea', 'RT', 'madebymany', 'thenextweb', 'wrote', 'our', 'hollergram', 'iPad', 'app', 'sxsw', 'http', 'bit', 'ly', 'ieaVOB']",iPad or iPhone App,1,Beautifully smart simple idea RT madebymany thenextweb wrote our hollergram iPad app sxsw http bit ly ieaVOB ,0.10714285714285714,0.5,0.0,0.583,0.417,0.875,0.0,0.0,0.0,1.0,0.5,0.0,0.4115,-0.052083333333333336,1.4843550816666669
9,"['Counting', 'the', 'days', 'sxsw', 'plus', 'strong', 'Canadian', 'dollar', 'means', 'stock', 'on', 'Apple', 'gear']",Apple,1,Counting the day sxsw plus strong Canadian dollar mean stock on Apple gear ,0.060416666666666646,0.7104166666666667,0.0,0.784,0.216,0.5106,1.0,-1.0,1.0,1.0,0.5,1.0,0.31599999999999995,0.21614583337499998,-0.159241948
10,"['Excited', 'meet', 'samsungmobileus', 'sxsw', 'I', 'show', 'my', 'Sprint', 'Galaxy', 'still', 'running', 'Android', '2', '1', 'fail']",Android,1,Excited meet samsungmobileus sxsw I show my Sprint Galaxy still running Android 2 1 fail ,-0.0625,0.5249999999999999,0.185,0.688,0.127,-0.2732,0.0,-0.3333333333333333,-1.0,-1.0,-0.75,-1.0,-0.040500000000000036,0.0348214286,0.0
