,tweet,product_,emotion,lemmatizer_tweets,textblob_polarity,textblob_subjectivity,vs_neg,vs_neu,vs_pos,vs_compound
0,"['wesley83', 'have', '3G', 'iPhone', '3', 'hrs', 'tweeting', 'RISE', 'Austin', 'was', 'dead', 'need', 'upgrade', 'Plugin', 'stations', 'SXSW']",iPhone,0,wesley83 have 3G iPhone 3 hr tweeting RISE Austin wa dead need upgrade Plugin station SXSW ,-0.2,0.4,0.223,0.777,0.0,-0.6486
1,"['jessedee', 'Know', 'fludapp', 'Awesome', 'iPad', 'iPhone', 'app', 'you', 'likely', 'appreciate', 'its', 'design', 'Also', 're', 'giving', 'free', 'Ts', 'SXSW']",iPad or iPhone App,1,jessedee Know fludapp Awesome iPad iPhone app you likely appreciate it design Also re giving free Ts SXSW ,0.4666666666666666,0.9333333333333332,0.0,0.528,0.472,0.91
2,"['swonderlin', 'not', 'wait', 'iPad', '2', 'also', 'should', 'sale', 'down', 'SXSW']",iPad,1,swonderlin not wait iPad 2 also should sale down SXSW ,-0.15555555555555559,0.2888888888888889,0.0,1.0,0.0,0.0
3,"['sxsw', 'hope', 'year', 'festival', 't', 'crashy', 'this', 'year', 'iPhone', 'app', 'sxsw']",iPad or iPhone App,0,sxsw hope year festival t crashy this year iPhone app sxsw ,0.0,0.0,0.0,0.596,0.404,0.7269
4,"['sxtxstate', 'great', 'stuff', 'Fri', 'SXSW', 'Marissa', 'Mayer', 'Google', 'Tim', 'Reilly', 'tech', 'books', 'conferences', 'amp', 'Matt', 'Mullenweg', 'Wordpress']",Google,1,sxtxstate great stuff Fri SXSW Marissa Mayer Google Tim Reilly tech book conference amp Matt Mullenweg Wordpress ,0.8,0.75,0.0,0.796,0.204,0.6249
5,"['teachntech00', 'New', 'iPad', 'Apps', 'SpeechTherapy', 'Communication', 'Showcased', 'The', 'SXSW', 'Conference', 'http', 'ht', 'ly', '49n4M', 'iear', 'edchat', 'asd']",Unknown,3,teachntech00 New iPad Apps SpeechTherapy Communication Showcased The SXSW Conference http ht ly 49n4M iear edchat asd ,0.13636363636363635,0.45454545454545453,0.0,0.816,0.184,0.5574
7,"['SXSW', 'just', 'starting', 'CTIA', 'around', 'corner', 'googleio', 'only', 'hop', 'skip', 'a', 'jump', 'there', 'good', 'time', 'be', 'android', 'fan']",Android,1,SXSW just starting CTIA around corner googleio only hop skip a jump there good time be android fan ,0.2333333333333333,0.5666666666666668,0.0,0.755,0.245,0.6369
8,"['Beautifully', 'smart', 'simple', 'idea', 'RT', 'madebymany', 'thenextweb', 'wrote', 'our', 'hollergram', 'iPad', 'app', 'sxsw', 'http', 'bit', 'ly', 'ieaVOB']",iPad or iPhone App,1,Beautifully smart simple idea RT madebymany thenextweb wrote our hollergram iPad app sxsw http bit ly ieaVOB ,0.10714285714285714,0.5,0.0,0.583,0.417,0.875
9,"['Counting', 'the', 'days', 'sxsw', 'plus', 'strong', 'Canadian', 'dollar', 'means', 'stock', 'on', 'Apple', 'gear']",Apple,1,Counting the day sxsw plus strong Canadian dollar mean stock on Apple gear ,0.060416666666666646,0.7104166666666667,0.0,0.784,0.216,0.5106
10,"['Excited', 'meet', 'samsungmobileus', 'sxsw', 'I', 'show', 'my', 'Sprint', 'Galaxy', 'still', 'running', 'Android', '2', '1', 'fail']",Android,1,Excited meet samsungmobileus sxsw I show my Sprint Galaxy still running Android 2 1 fail ,-0.0625,0.5249999999999999,0.185,0.688,0.127,-0.2732
11,"['Find', 'amp', 'Start', 'Impromptu', 'Parties', 'SXSW', 'HurricaneParty', 'http', 'bit', 'ly', 'gVLrIn', 'can', 'wait', 'til', 'Android', 'app', 'comes']",Android App,1,Find amp Start Impromptu Parties SXSW HurricaneParty http bit ly gVLrIn can wait til Android app come ,0.0,0.0,0.0,0.704,0.296,0.743
12,"['Foursquare', 'ups', 'game', 'in', 'time', 'SXSW', 'http', 'j', 'mp', 'grN7pK', 'Still', 'prefer', 'Gowalla', 'far', 'best', 'looking', 'Android', 'app', 'date']",Android App,1,Foursquare ups game in time SXSW http j mp grN7pK Still prefer Gowalla far best looking Android app date ,0.2333333333333333,0.5666666666666667,0.0,0.811,0.189,0.6369
13,"['Gotta', 'love', 'SXSW', 'Google', 'Calendar', 'featuring', 'top', 'parties', 'show', 'cases', 'check', 'RT', 'hamsandwich', 'via', 'ischafer', 'gt', 'http', 'bit', 'ly', 'aXZwxB']",Other Google product or service,1,Gotta love SXSW Google Calendar featuring top party show case check RT hamsandwich via ischafer gt http bit ly aXZwxB ,0.5,0.55,0.0,0.51,0.49,0.9246
14,"['Great', 'sxsw', 'ipad', 'app', 'madebymany', 'http', 'tinyurl', 'com', '4nqv92l']",iPad or iPhone App,1,Great sxsw ipad app madebymany http tinyurl com 4nqv92l ,0.8,0.75,0.0,0.661,0.339,0.6249
15,"['haha', 'awesomely', 'rad', 'iPad', 'app', 'madebymany', 'http', 'bit', 'ly', 'hTdFim', 'hollergram', 'sxsw']",iPad or iPhone App,1,haha awesomely rad iPad app madebymany http bit ly hTdFim hollergram sxsw ,0.6,0.65,0.0,0.602,0.398,0.765
16,"['Holler', 'Gram', 'iPad', 'the', 'iTunes', 'App', 'Store', 'http', 'co', 'kfN3f5Q', 'via', 'marc', 'ken', 'sxsw']",Unknown,3,Holler Gram iPad the iTunes App Store http co kfN3f5Q via marc ken sxsw ,0.0,0.0,0.0,1.0,0.0,0.0
17,"['just', 'noticed', 'DST', 'coming', 'weekend', 'many', 'iPhone', 'users', 'be', 'hour', 'late', 'SXSW', 'come', 'Sunday', 'morning', 'SXSW', 'iPhone']",iPhone,0,just noticed DST coming weekend many iPhone user be hour late SXSW come Sunday morning SXSW iPhone ,0.1,0.55,0.0,1.0,0.0,0.0
18,"['added', 'SXSW', 'flights', 'planely', 'Matching', 'people', 'planes', 'airports', 'Also', 'downloaded', 'KLM', 'iPhone', 'app', 'nicely', 'done']",iPad or iPhone App,1,added SXSW flight planely Matching people plane airport Also downloaded KLM iPhone app nicely done ,0.6,1.0,0.0,0.828,0.172,0.4404
19,"['Must', 'SXSW', 'app', 'RT', 'malbonster', 'Lovely', 'review', 'Forbes', 'our', 'SXSW', 'iPad', 'app', 'Holler', 'Gram', 'http', 'co', 'g4GZypV']",iPad or iPhone App,1,Must SXSW app RT malbonster Lovely review Forbes our SXSW iPad app Holler Gram http co g4GZypV ,0.5,0.75,0.0,0.808,0.192,0.5859
20,"['Need', 'buy', 'iPad2', 'I', 'in', 'Austin', 'sxsw', 'sure', 'I', 'need', 'Q', 'at', 'Austin', 'Apple', 'store']",iPad,1,Need buy iPad2 I in Austin sxsw sure I need Q at Austin Apple store ,0.5,0.8888888888888888,0.0,0.859,0.141,0.3182
21,"['Oh', 'God', 'SXSW', 'app', 'iPad', 'pure', 'unadulterated', 'awesome', 's', 'easier', 'browse', 'events', 'iPad', 'on', 'website']",iPad or iPhone App,1,Oh God SXSW app iPad pure unadulterated awesome s easier browse event iPad on website ,0.5380952380952381,0.7333333333333334,0.0,0.571,0.429,0.8402
22,"['Okay', 'is', 'really', 'yay', 'new', 'Foursquare', 'Android', 'app', '11', 'kthxbai', 'sxsw']",Android App,1,Okay is really yay new Foursquare Android app 11 kthxbai sxsw ,0.27878787878787875,0.38484848484848483,0.0,0.617,0.383,0.6801
23,"['Photo', 'installed', 'SXSW', 'iPhone', 'app', 'is', 'really', 'nice', 'http', 'tumblr', 'com', 'x6t1pi6av7']",iPad or iPhone App,1,Photo installed SXSW iPhone app is really nice http tumblr com x6t1pi6av7 ,0.6,1.0,0.0,0.781,0.219,0.4754
24,"['Really', 'enjoying', 'changes', 'Gowalla', '3', '0', 'Android', 'Looking', 'forward', 'seeing', 'else', 'amp', 'Foursquare', 'up', 'sleeves', 'SXSW']",Android App,1,Really enjoying change Gowalla 3 0 Android Looking forward seeing else amp Foursquare up sleeve SXSW ,0.5,0.6,0.0,0.802,0.198,0.5709
25,"['RT', 'LaurieShook', 'm', 'looking', 'forward', 'the', 'SMCDallas', 'pre', 'SXSW', 'party', 'Wed', 'hoping', 'll', 'win', 'iPad', 'resulting', 'my', 'shameless', 'promotion', 'ChevySMC']",iPad,1,RT LaurieShook m looking forward the SMCDallas pre SXSW party Wed hoping ll win iPad resulting my shameless promotion ChevySMC ,0.8,0.4,0.087,0.578,0.336,0.7845
26,"['RT', 'haha', 'awesomely', 'rad', 'iPad', 'app', 'madebymany', 'http', 'bit', 'ly', 'hTdFim', 'hollergram', 'sxsw', 'via', 'michaelpiliero']",iPad or iPhone App,1,RT haha awesomely rad iPad app madebymany http bit ly hTdFim hollergram sxsw via michaelpiliero ,0.6,0.65,0.0,0.663,0.337,0.765
27,"['someone', 'started', 'austin', 'PartnerHub', 'group', 'google', 'groups', 'pre', 'sxsw', 'great', 'idea']",Other Google product or service,1,someone started austin PartnerHub group google group pre sxsw great idea ,0.8,0.75,0.0,0.709,0.291,0.6249
