word,polar
aaa,0.606
aah,-0.51
abandon,-0.56
abandonment,-0.65
abase,-0.58
abasement,-0.58
abash,-0.54
abashed,-0.52
abashment,-0.6
abate,-0.86
abatement,-0.65
abbreviate,0.061
abc,0.043
abdicate,-0.81
abdication,-0.6
abdomen,0.555
abdominoplasty,0.788
abduction,-0.6
abductor,0.781
aberrance,-0.86
aberrancy,-0.81
aberrant,-0.78
abetalipoproteinemia,-0.86
abhor,-0.39
abhorrence,-0.39
abhorrent,-0.44
abidance,0.778
abide,0.045
abience,-0.55
ability,0.129
abject,-0.6
abjection,-0.52
abjectly,-0.63
abjure,-0.72
ablate,-0.53
ablaze,0.724
able,0.778
ablution,-0.89
abnegate,-0.94
abnormal,-0.64
abnormalcy,-0.86
abnormality,-0.86
abolish,0.357
abominable,-0.53
abominably,-0.44
abominate,-0.39
abomination,-0.39
abominator,-0.53
aboriginal,0.068
abortion,-0.56
abortionist,0.564
abortive,-0.78
abortus,-0.53
abound,-0.47
above,0.531
abrade,-0.82
abrasion,-0.08
abrasive,-0.03
abridge,0.561
abridgement,0.075
abroad,-0.76
abrogates,-0.59
abrupt,-0.82
abruptness,-0.69
abscess,-0.48
abscessed,-0.59
abscesses,-0.48
abscission,-0.67
abscond,-0.59
absconding,-0.59
absence,-0.38
absent,-0.05
absentee,-0.66
absolute,0.262
absoluteness,0.262
absolution,0.606
absolutism,-0.83
absolved,0.786
absolvitory,0.635
absorb,0.709
absorbing,0.692
absorption,0.738
abstemious,0.609
abstemiousal,0.688
abstemiousness,-0.63
abstinence,-0.61
abstinent,-0.57
abstract,0.121
abstraction,0.51
abstractness,0.911
abstruse,0.545
abstruseness,-0.59
abstrusity,-0.59
absurd,-0.51
absurdity,-0.72
absurdly,-0.64
abugida,-0.76
abundance,0.104
abundant,0.068
abuse,-0.22
abusive,-0.57
abut,-0.65
abuzz,-0.55
abysmal,0.544
academic,0.508
academician,0.509
academicism,0.645
academy,0.782
acantha,-0.78
acanthamoeba,0.032
acarophobia,-0.77
acarpous,-0.78
accelerants,-0.14
accelerate,0.752
acceleration,-0.86
accelerator,0.767
accent,0.737
accept,0.622
acceptability,-0.55
acceptable,0.597
acceptableness,0.615
acceptance,0.041
acceptation,0.621
access,0.509
accessary,0.788
accessible,0.761
accessorial,-0.81
accessory,0.073
accident,-0.6
accidental,-0.81
acclaim,0.887
acclamation,0.561
accolade,0.154
accommodate,0.768
accommodation,0.071
accommodative,-0.62
accomodate,0.579
accomplice,-0.53
accomplish,-0.14
accomplished,0.271
accomplishment,0.076
accord,0.275
accordance,0.526
accordant,0.64
accordantly,0.546
according,0.64
accordingly,0.057
accost,0.66
account,0.105
accountable,-0.59
accountableness,-0.6
accountant,0.074
accountedge,0.053
accounting,0.708
accouterment,-0.68
accoutrement,0.568
accretion,0.88
acculturation,0.619
accumulate,0.116
accumulation,0.754
accumulator,0.047
accuracy,0.033
accurate,0.033
accurately,0.586
accurse,-0.78
accusation,-0.77
accusatory,-0.8
accuse,-0.11
accused,-0.57
accuser,-0.11
accusing,-0.8
accusive,-0.8
accuweather,-0.02
ace,0.059
acerb,-0.57
acerbate,-0.53
acerbic,-0.48
acerbity,-0.82
acetabular,0.653
acetabulum,0.653
acetaminophen,-0.76
acetify,-0.58
acetone,0.816
achalasia,-0.7
ache,-0.74
achene,0.082
achievability,-0.82
achievable,0.134
achieve,0.907
achieved,0.584
achievement,0.25
achiever,0.735
achievment,0.543
aching,-0.74
achromasia,-0.65
achromatic,-0.61
achy,0.772
acid,-0.03
acidify,-0.58
acidity,-0.82
acidophil,0.805
acidophile,0.805
acidophilus,-0.98
acidulate,-0.58
acidulousness,-0.84
aciphex,-0.6
acknowledge,0.075
acknowledgeable,0.947
acknowledged,-0.68
acknowledgement,0.568
acknowledgment,0.934
acmetropolis,0.688
acne,-0.96
acned,-0.83
acolyte,-0.72
acoustic,0.597
acquaint,0.664
acquaintance,0.648
acquiesce,-0.73
acquiescence,-0.74
acquire,0.095
acquirement,0.729
acquisition,0.698
acquisitiveness,-0.75
acquit,0.857
acral,-0.78
acre,0.055
acreage,0.082
acrid,-0.57
acridity,-0.74
acridness,-0.74
acrimonious,-0.57
acrimoniously,-0.57
acrimony,-0.59
acrobat,0.538
acrobatic,0.528
acromegalic,-0.72
acronym,-0.03
acronymic,-0.77
across-the-board,0.573
acrost,-0.86
acrostic,0.587
act,0.538
actavis,0.413
acting,0.52
actinomyces,0.784
actinotherapy,0.732
action,0.523
activate,0.523
activated,-0.71
activating,0.586
activation,0.546
active,0.065
activeness,0.799
activewear,-0.61
activist,0.577
activity,0.09
actor,0.544
actress,0.628
actual,0.138
actuality,0.262
actually,-0.76
acuity,0.856
acumen,0.533
acutance,0.911
acuteness,0.794
ad,0.615
adagio,0.598
adamance,-0.83
adamant,-0.69
adaminaby,-0.71
adapt,0.054
adaptability,0.852
adaptable,0.054
adaptation,0.556
adapted,0.548
adaptive,0.551
adaptively,0.548
adaptiveness,0.546
add,-0.65
add-on,-0.52
adder,-0.85
addict,-0.35
addicted,-0.32
addiction,-0.57
addictive,-0.78
addition,0.115
additional,0.571
additive,-0.57
additivity,-0.8
addle,-0.64
addlehead,-0.77
addling,0.51
address,0.045
adduce,0.49
adductor,0.781
adefovir,-0.84
adenoma,-0.63
adenopathy,-0.78
adenosine,0.588
adenosis,-0.58
adenozine,0.542
adept,0.591
adeptness,0.731
adequacy,-0.94
adequate,0.784
adequately,0.057
adequateness,-0.94
adessive,0.693
adhere,0.102
adherence,0.562
adherent,0.617
adherently,0.615
adhesive,-0.57
adience,-0.75
adjacent,-0.56
adjoin,-0.65
adjust,0.152
adjustable,0.089
adjusted,-0.74
adjustment,0.672
administer,0.567
administrable,0.642
administration,0.109
administrator,0.492
admirable,0.42
admirably,0.42
admiral,0.824
admiration,0.333
admire,0.235
admired,0.656
admirer,0.648
admission,0.083
admit,0.284
admittedly,-0.51
admonish,-0.54
admonishing,-0.84
admonishment,0.749
admonitory,-0.57
adnyamathanha,-0.71
adobe,0.729
adolescence,0.549
adolescent,0.035
adopt,0.547
adorable,0.86
adorably,0.383
adoration,0.787
adore,0.16
adoring,0.403
adorn,0.045
adorned,0.691
adornment,0.073
adrenalin,0.739
adrenaline,0.801
adrenergic,0.88
adrenocorticotrophic,0.89
adrenocorticotropic,0.89
adrift,-0.79
adroit,0.81
adroitly,0.514
adroitness,0.875
ads,0.111
adscititious,-0.79
adulate,-0.13
adult,0.439
adulterate,-0.85
adulteration,-0.59
adulterer,-0.73
adulteress,-0.73
adultery,-0.18
advance,0.076
advancement,0.606
advantage,0.856
advantageous,0.667
advantageousness,0.875
adventitious,-0.79
adventure,0.547
adventurer,0.772
adventuresome,0.848
adventurism,0.771
adventurous,0.675
adventurousness,0.607
adverbial,0.693
adversarial,-0.6
adversaries,0.76
adversary,-0.53
adversative,-0.65
adverse,-0.53
adverseness,-0.53
adversity,-0.1
advert,0.615
advertise,0.615
advertisement,0.615
advertiser,0.615
advertises,0.615
advertisment,-0.04
advertorial,0.615
advice,0.616
advil,0.871
advisable,0.166
advise,0.125
advisory,0.817
advocate,0.64
advocator,0.64
aeonian,-0.79
aerial,0.103
aerobics,0.31
aerofoil,-0.89
aeroplane,0.037
aerozine,0.024
aerssens,-0.67
aesthesia,0.755
aesthesis,-0.7
aesthete,0.648
aesthetic,0.738
aesthetical,0.727
aestheticism,0.767
aesthetics,0.105
aestivation,-0.67
afar,-0.52
affability,0.946
affable,0.821
affably,-0.85
affair,-0.57
affaire,0.766
affect,0.565
affectation,-0.82
affectedness,-0.77
affecting,-0.52
affection,0.775
affectional,0.373
affectionate,0.554
affectionateness,0.373
affective,0.373
affectless,-0.77
affiliative,0.873
affinal,0.793
affinity,0.571
affirm,0.823
affirmation,0.564
affirmative,0.427
affirmativeness,0.705
affixed,0.925
afflict,-0.74
affliction,-0.85
affluence,0.599
affluent,0.599
afford,0.106
affray,-0.73
affright,-0.54
affront,-0.85
aficionado,0.676
afire,0.724
aflame,0.724
aflare,0.724
aflicker,-0.55
afloat,-0.79
afoot,0.623
afoul,-0.56
afox,-0.05
afraid,-0.19
africa,-0.73
afro,-0.48
afterimage,-0.7
afternoon,0.029
aftersensation,-0.7
aftertaste,0.084
again,0.089
against,-0.59
agamic,-0.77
agamogenetic,-0.77
agamous,-0.77
agape,0.841
agapic,-0.65
agaric,-0.51
agartha,0.043
age,0.045
agelessness,-0.84
agency,0.124
agenda,0.059
agent,0.905
ageratina,0.598
agglomerate,-0.72
agglomeration,-0.67
aggrandize,0.695
aggravate,-0.47
aggravated,-0.47
aggravating,0.751
aggravation,-0.52
aggregation,0.754
aggresive,-0.59
aggress,-0.78
aggression,-0.43
aggressive,-0.59
aggressively,-0.59
aggressiveness,-0.6
aggrieve,-0.43
aggroup,0.863
agile,0.566
agility,0.041
aging,0.649
agitate,-0.62
agitated,-0.62
agitation,-0.79
agnate,0.793
agnatic,0.793
agnation,0.793
agnosia,-0.74
agnostic,0.515
ago,0.058
agonize,-0.55
agonizing,-0.5
agonizingly,-0.55
agony,-0.81
agrarian,0.645
agrarianism,0.645
agree,0.568
agreeability,0.705
agreeable,0.64
agreeably,0.549
agreed,0.818
agreement,0.584
agressive,-0.59
agricultural,0.055
agriculture,0.045
agromania,-0.93
ague,-0.61
ahead,0.281
ahipara,-0.84
ahorse,0.623
ahorseback,0.623
aid,-0.94
aide,0.292
aikido,-0.05
ail,-0.82
ailing,-0.6
ailment,-0.15
aim,0.595
aimless,-0.79
aimlessness,0.799
air,0.631
aircraft,0.41
airfare,0.078
airflow,0.759
airheaded,-0.78
airline,0.026
airliner,0.026
airmanship,0.817
airmets,-0.02
airplane,0.639
airport,0.082
airy,-0.71
aisle,0.063
ajar,0.026
akantha,-0.78
akrasia,0.781
alamodome,0.047
alarm,-0.54
alarmed,-0.54
alarming,-0.72
alb,0.732
albafica,-0.78
albeit,0.575
albicilla,0.751
albinism,-0.81
alchemist,0.622
alchemy,0.619
alcohol,0.041
alcoholic,-0.55
alcoholism,-0.53
aldose,-0.65
ale,0.58
alert,-0.53
aleve,0.871
alevins,-0.78
alfil,0.038
alga,-0.64
algae,-0.75
algebra,0.571
algebraematics,0.633
algebraic,-0.93
algebraist,-0.52
algol,0.606
algorithm,-0.93
algorithmic,-0.93
algy,-0.86
alias,0.1
alibi,-0.09
alidade,0.537
alien,-0.28
alienage,-0.8
alienate,-0.4
alienated,-0.4
alienation,-0.4
alienism,-0.8
alight,0.724
align,-0.64
aligners,-0.76
alikeness,-0.73
alimony,-0.51
alive,0.024
aliveness,-0.66
aliyah,0.789
alizarin,0.033
alkaline,0.032
alkalizer,-0.67
alkalosis,0.357
alky,0.701
all,0.597
allay,0.434
allegation,-0.72
alleged,-0.58
allegory,0.664
allergy,-0.87
alleviate,0.727
alleviative,0.761
alley,0.25
alleyway,0.25
allicin,-0.73
allicrocodilian,-0.79
allie,-0.86
alligator,-0.02
alliterate,0.037
alliteration,0.037
alliterations,0.037
alliterative,0.037
allocasuarina,0.715
allocation,0.71
allomerism,-0.75
allot,0.75
allotment,0.056
allow,0.321
allowable,0.497
allowably,0.496
allowance,0.254
allows,0.59
alloy,0.797
alloyed,-0.78
allude,-0.59
allure,0.688
allurement,0.688
alluring,0.885
allusiveness,-0.69
alluvial,-0.51
alluviation,0.718
ally,0.624
almighty,0.143
almond,0.073
alms,0.125
alocasia,0.586
aloe,0.641
aloft,0.527
alone,-0.57
aloneness,-0.71
aloofness,-0.55
alpaca,-0.75
alpha,0.125
alphabet,0.041
alphabetic,0.072
alphanumeric,0.072
alpinist,0.562
already,0.511
alroy,-0.54
altar,0.164
alter,0.135
alterable,0.721
alteration,0.74
altercate,0.801
altercation,-0.62
altered,-0.74
alternate,0.918
alternative,-0.65
altimeter,0.079
altitude,0.079
alto,0.037
altogether,-0.86
altruist,0.515
altruistic,0.122
altruistically,0.518
aluminium,0.042
aluminum,0.803
alvaradoa,-0.02
alveolus,0.653
alwaies,0.615
alzheimer,-0.76
alzheimers,-0.76
amalgamate,-0.51
amanda,-0.86
amass,-0.71
amateur,-0.86
amateurishness,0.772
amative,0.401
amativeness,0.772
amatory,0.401
amaze,0.245
amazed,0.355
amazement,0.333
amazing,0.357
amazingly,0.357
amazon,-0.82
amazonian,-0.63
ambasjoyfulor,0.537
ambassador,0.077
ambidextrous,-0.56
ambigram,0.587
ambiguities,0.911
ambiguity,-0.54
ambiguous,-0.62
ambiguously,-0.62
ambition,0.117
ambitious,0.828
ambivalence,-0.54
ambiversion,-0.7
amble,-0.73
ambo,-0.62
ambrosial,0.858
ambulance,-0.09
ambuscade,-0.56
ambush,0.081
amelia,-0.78
ameliorate,0.648
ameliorating,0.656
ameliorative,0.656
amelioratory,0.656
amenability,0.768
amenable,0.859
amend,0.813
amendable,0.727
amendment,0.077
amends,-0.75
amentia,-0.73
america,-0.73
american,0.097
amethyst,0.052
amhl,-0.03
amiability,0.661
amiable,0.049
amiably,0.514
amicable,0.539
amice,0.732
amide,0.597
amidships,0.826
amiss,-0.72
ammonia,-0.04
ammonification,0.893
ammunition,-0.55
amnesia,-0.94
amnestic,-0.6
amnesty,0.64
amoeba,0.032
amoebic,0.032
amoeboid,0.032
amoeboids,0.032
amok,-0.38
amoral,-0.4
amoralism,0.767
amorality,0.767
amorous,0.401
amorousness,0.401
amorphous,-0.64
amount,0.173
amour,0.912
ampeg,-0.72
ampere,0.537
amphiapteral,-0.8
amphibian,-0.02
amphibology,0.693
amphiboly,0.693
amphipod,0.887
amphiprostylar,-0.8
amphiprostyle,-0.8
amphisbaena,-0.69
amphisbaenians,-0.84
amphistylar,-0.8
amphitheater,0.039
ample,0.58
amplifier,0.037
amplify,-0.76
amplitude,0.091
amprenavir,-0.84
ampulla,0.788
amuck,-0.38
amulet,0.102
amuse,0.916
amusement,0.871
amygdala,0.873
amyotrophia,-0.84
amyotrophy,-0.84
anachronistic,-0.72
anacin,0.871
anagnost,0.685
anagram,0.587
anagrammatic,0.587
anaiwan,-0.71
analgesic,0.871
analgetic,0.761
analog,-0.49
analogue,-0.48
analphabet,-0.84
analphabetic,-0.84
analphabetism,-0.78
analyses,0.789
analysis,0.579
analyst,0.237
analytic,0.562
analytical,0.789
analyze,0.057
anamnesis,0.73
anamorphic,0.081
anapestic,0.037
anaplasma,0.784
anarchic,-0.73
anarchical,-0.73
anarchism,-0.55
anarchist,-0.59
anarcho,0.767
anarchy,-0.88
anarthrous,0.693
anastomoses,-0.63
anastomosis,-0.63
anathematize,0.615
anathemize,-0.67
anatidae,-0.84
anatman,0.699
anatomy,0.058
anatt,0.699
ancestor,-0.63
anchoritic,-0.86
ancient,0.058
anemone,0.028
anergy,-0.73
anesthesia,-0.78
anesthetic,-0.67
aneuploid,-0.86
aneurysmal,-0.63
anfractuous,-0.76
angel,0.657
angelic,0.86
anger,-0.33
angered,-0.42
angina,-0.74
angioedema,-0.78
angiologist,0.561
angioplasty,-0.62
angle,0.576
angler,0.032
anglerfish,-0.64
anglophile,0.648
anglophobe,-0.68
angrily,-0.38
angry,-0.29
angst,-0.92
anguish,-0.38
angularity,0.898
angulation,0.705
anhidrosis,-0.71
anhydrobiosis,-0.67
animadversion,-0.77
animal,0.034
animalcule,0.032
animalism,-0.82
animality,0.123
animals,0.033
animate,0.11
animating,0.762
animation,0.551
anime,0.578
animosities,-0.38
animosity,-0.94
animus,-0.41
anisette,0.784
